Dion, Runaround Sue, Runaround Sue
Johnny Tillotson, Poetry In Motion, Poetry In Motion
Bill Haley & The Comets, Rock around The Clock, Rock around The Clock
Chubby Checker, Let's Twist Again, Let's Twist Again
Bobby Darin, Dream Lover, Dream Lover
